createdAt,userName,userLocation,text
2021-03-11 09:36:19,Zena Woodley,"London, UK","RT :  It has been happening to people after the vaccine. They call it ""immune thrombocytopenia"", and it basically cau…"
2021-03-11 09:36:19,S-Falawai,,RT : We need Kidnapping and Boko Haram Vaccine more than we need COVID-19 Vaccine.
2021-03-11 09:36:18,Prathmesh Pandey,"Mountain View, CA","RT : Sit down! 
Canada has following supplier agreements for COVID-19 vaccine - 
Pfizer: upto 76 million doses
Moderna: 44m
Astr…"
2021-03-11 09:36:18,प्रदीप अत्री 🇮🇳,Gurgaon,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:18,Jw 🇪🇺,,RT : Denmark suspends use of AstraZeneca vaccine due to serious cases of blood clots 
2021-03-11 09:36:18,samanta,,"RT : Instagram is broken.

Its algorithm is recommending Covid and vaccine lies to millions of users during a pandemic.

Our new re…"
2021-03-11 09:36:18,phil taylor,wirral uk,"RT : Those who have had the 'vaccine'.

How has your life changed? It hasn't has it?

Other than the side effects of course"
2021-03-11 09:36:18,🅼🆈🅺🅰🅻 🅺🅸🅳🅴🇰🇪,"Nairobi, Kenya",RT : This country of ours though! So we had 4.2 billion  for MCAs car grant but we have to borrow 5billion to Finance covid-19…
2021-03-11 09:36:18,OLVSKN,,"RT : Zero Republicans voted for $1,400 checks.
Zero Republicans voted for $300/week in jobless benefits.
Zero Republicans v…"
2021-03-11 09:36:17,James McCamphill ,"07961140174, ","RT : Those who have had the 'vaccine'.

How has your life changed? It hasn't has it?

Other than the side effects of course"
2021-03-11 09:36:17,அருணாசலம்,பரந்த உலகம்,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:17,SovereignBeing,," Why woukd you encourage a vaccine for a virus with  99% recovery rate,  30 % transmission rate. A vac… "
2021-03-11 09:36:17,OMAR/XAU,Tunisia,Denmark suspends use of  vaccine due to serious cases of blood clots. $AZN
2021-03-11 09:36:17,Genlous NLG,NLG Project,‘Hoping for a flood’: How states are preparing for a surge in vaccine supply    &gt;&gt;&gt;… 
2021-03-11 09:36:16,Julika Brand,Allgäu (Bayern),"by now - caused ~2.63 Mio  at a global  of 7851Mio!

and to fight this  a… "
2021-03-11 09:36:16,🇺🇸 jjGravitas 🇺🇸,"Maryland, USA","RT : Lauren Boebert just voted AGAINST the American Rescue Plan. Let’s be clear what that means:

Vaccine supplies in Durang…"
2021-03-11 09:36:16,WokeGrammy,,RT : Four former presidents have banded together for two national ad campaigns released Thursday designed to drive trust in COVID-19…
2021-03-11 09:36:16,agathe,,RT : Girls don't want boys. They want the covid vaccine and a nice apartment
2021-03-11 09:36:16,Citadel Advantage NEWS DIGEST,,How Are Blockchain And IoT Helping COVID Vaccine Shipments?    via… 
2021-03-11 09:36:15,Andrew James,, if the  regime was running this   they wouldn't have hesitated for a secon… 
2021-03-11 09:36:15,British Embassy Manila 🇬🇧🇵🇭,Republic of the Philippines,RT : Around 23 million doses of the   should arrive in the country during this year. - UK envoy to PHL …
