createdAt,userName,userLocation,text
Thu Mar 11 09:39:35 +0000 2021,,röda linjen," when life gives you snow, turn it into water 

(nä förlåt jag lider med dig)"
Thu Mar 11 09:39:35 +0000 2021,Tolek 🇵🇱🇺🇸,Małopolska,"RT : 11 marzec 2021 Jarosław Kaczyński przyjął pierwszą dawkę szczepionki na Covid 19.
Zgodnie ze swoją kolejnością.
Nie ka…"
Thu Mar 11 09:39:35 +0000 2021,Vadupwa Msoni,South Africa,  Minister of covid
Thu Mar 11 09:39:35 +0000 2021,natalija stojic,,Could be  Covid and lockdown? We just care about this. Don't we?
Thu Mar 11 09:39:35 +0000 2021,dani,kurtistown,RT : Girls don't want boys. They want the covid vaccine and a nice apartment
Thu Mar 11 09:39:35 +0000 2021,sammiel4273,"Wales, United Kingdom",RT : Live Fear Free 24/7 helpline for ALL victims &amp; survivors of domestic abuse &amp; sexual violence and those close to them will…
Thu Mar 11 09:39:35 +0000 2021,Warwickshire Police - Fraud & Economic Crime,Leek Wooton,"RT : RT : If you get an email, text or call from the NHS asking you to pay or give personal details to get your Coro…"
Thu Mar 11 09:39:35 +0000 2021,Trish,"Nairobi, Kenya", Oh yeah. Someone once mentioned that the cells of the immune system have memory.
Thu Mar 11 09:39:35 +0000 2021,Sidney Jagger  l'mOverCorbyn,Worthing England ,"RT : It's bad news that Piers Morgan is gone from GMB. 

Leaving Meghan Markle aside for a moment, who else on mainstream TV…"
Thu Mar 11 09:39:35 +0000 2021,Aaron Welsh,"Scotland, United Kingdom",RT : I'd say Channel 4 Dispatches ee on   Covid lab would be uncomfortable viewing for  who have a…
Thu Mar 11 09:39:35 +0000 2021,riv centralbron,"Stockholm, Sweden",men inte i sverige för här jobbar  hårt på att suvifiera samhället
Thu Mar 11 09:39:35 +0000 2021,,,RT : me and my bitches when covid disappears 
Thu Mar 11 09:39:35 +0000 2021,Alex,Queens,RT : the thing that scares me most about covid is it seems to just be this roulette? it could be a mild cold! you could die!…
Thu Mar 11 09:39:35 +0000 2021,Duchess JK Poliakoff 🧬🥽️🧫🧪️,Sarajevo,"Quantum of Science: Ne, ivermektin nije lijek za COVID-19  nego čista dezinformacija! … "
